rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0001,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0001,B01B0104,8850871025112,8850871025112,8850871025112,8850871025112,โพลีไบรท์ซูเปอร์ม็อบ 25ซม,9,88.27,17 Feb 08:43PM
0002,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0002,B01B0104,8853474052394,8853474052394,8853474052394,8853474052394,สมาร์ทเตอร์ม็อบจุกผ้าไมโคร,5,95.7,17 Feb 08:43PM
0003,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0003,B01B0104,8850304019084,8850304019084,8850304019084,8850304019084,3เอ็มคอตตอนม็อบ,4,95.04,17 Feb 08:44PM
0004,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0004,B01B0104,8853474052479,8853474052479,8853474052479,8853474052479,สมาร์ทเตอร์ม็อบรีดน้ำพร้อมแปรง,2,94.55,17 Feb 08:44PM
0005,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0005,B01B0104,8858843205630,8858843205630,8858843205630,8858843205630,ฮาทเทคสนูปี้พ๊อกเก็ตแพคx6,32,18.32,17 Feb 08:44PM
0006,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0006,B01B0104,8853152059387,8853152059387,8853152059387,8853152059387,เอสแอลเบาะรองนั่งรุ่นปริ้นซ์,1,280,17 Feb 08:45PM
0007,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0007,B01B0104,8850046177240,8850046177240,8850046177240,8850046177240,เซลล็อกซ์พิวริฟายอัลตร้าซอฟX24,1,218.94,17 Feb 08:45PM
0008,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0008,B01B0104,8850046100088,8850046100088,8850046100088,8850046100088,ซิลค์คอตตอนกระดาษชำระ 24ม้วน,1,89.51,17 Feb 08:45PM
0009,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0009,B01B0104,8888336027760,8888336027760,8888336027760,8888336027760,สก๊อตต์คลีนแคร์2XLแพค24,1,282.14,17 Feb 08:45PM
0010,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0010,B01B0104,8853474065608,8853474065608,8853474065608,8853474065608,สมาร์ทเตอร์กะดาษชำระเอ็กตราX24,1,128.52,17 Feb 08:46PM
0011,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0011,B01B0104,8858843205630,8858843205630,8858843205630,8858843205630,ฮาทเทคสนูปี้พ๊อกเก็ตแพคx6,72,18.32,17 Feb 08:46PM
0012,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0012,B01B0104,8851111606047,8851111606047,8851111606047,8851111606047,ไลฟ์รี่ผ้าอ้อมผู้ใหญ่เทป M X28,1,320.75,17 Feb 08:46PM
0013,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0013,B01B0104,8888336024196,8888336024196,8888336024196,8888336024196,สก๊อตต์คลีนแคร์กระดาษชำระX24,3,235.72,17 Feb 08:47PM
0014,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0014,B01B0104,8888336024196,8888336024196,8888336024196,8888336024196,สก๊อตต์คลีนแคร์กระดาษชำระX24,1,235.72,17 Feb 08:47PM
0015,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0015,B01B0104,8853474044542,8853474044542,8853474044542,8853474044542,สมาร์ทเตอร์กระดาษชำระ2เท่า X24,1,163.54,17 Feb 08:47PM
0016,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0016,B01B0104,8888336033686,8888336033686,8888336033686,8888336033686,คลีเน็กซ์ซิลค์กี้สมูท70แผ่น X4,2,101.55,17 Feb 08:47PM
0017,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0017,B01B0104,8888336033686,8888336033686,8888336033686,8888336033686,คลีเน็กซ์ซิลค์กี้สมูท70แผ่น X4,1,101.55,17 Feb 08:48PM
0018,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0018,B01B0104,8888336028972,8888336028972,8888336028972,8888336028972,คลีเน็กซ์เซนส์อโรมา 110แผ่นX4,8,103.68,17 Feb 08:48PM
0019,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0019,B01B0104,8858734701296,8858734701296,8858734701296,8858734701296,ศรีไทยบริการชุดไหว้บรรพบุรุษ,2,139,17 Feb 08:48PM
0020,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0020,B01B0104,8858843206231,8858843206231,8858843206231,8858843206231,พิมกระดาษเช็ดหน้า150แผ่นแพค3,1,43.74,17 Feb 08:48PM
0021,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0021,B01B0104,8850039750153,8850039750153,8850039750153,8850039750153,สก็อตต์ซอฟท์บ็อก 120แผ่น X4,1,78.69,17 Feb 08:48PM
0022,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0022,B01B0104,8858843206231,8858843206231,8858843206231,8858843206231,พิมกระดาษเช็ดหน้า150แผ่นแพค3,4,43.74,17 Feb 08:49PM
0023,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0023,B01B0104,8888336006093,8888336006093,8888336006093,8888336006093,สก็อตต์ทาวเวลบิ๊กโรล 2ม้วน,2,45.69,17 Feb 08:49PM
0024,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0024,B01B0104,8850046422708,8850046422708,8850046422708,8850046422708,แม๊กซ์โม่ทาวเวล 2ม้วน,5,43.43,17 Feb 08:49PM
0025,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0025,B01B0104,8888336006093,8888336006093,8888336006093,8888336006093,สก็อตต์ทาวเวลบิ๊กโรล 2ม้วน,1,45.69,17 Feb 08:49PM
0026,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0026,B01B0104,8850871025112,8850871025112,8850871025112,8850871025112,โพลีไบรท์ซูเปอร์ม็อบ 25ซม,1,88.27,17 Feb 08:50PM
0027,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0027,B01B0104,8851038020407,8851038020407,8851038020407,8851038020407,ระฆังทองชุดกรวดน้ำ,14,60,17 Feb 08:50PM
0028,470564,Q001040CBBF050000470564202102170831B01B0104,20017537,0028,B01B0104,8859312700663,8859312700663,8859312700663,8859312700663,ชิโมโนชุดถังปั่นSML001,1,790.42,17 Feb 08:51PM
