rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0001,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0001,F01F0104,8851932416993,8851932416993,8851932416993,8851932416993,ซันซิลแชมพูโคโคนัท 380มล,5,112.29,17 Feb 11:20PM
0002,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0002,F01F0104,8851932378321,8851932378321,8851932378321,8851932378321,ซันซิลแชมพูเนเชอโคโค 450มล,4,132.02,17 Feb 11:20PM
0003,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0003,F01F0104,8851932417716,8851932417716,8851932417716,8851932417716,ซันซิลนวดผมแอนตี้แฮร์ฟอล 320มล,9,112.29,17 Feb 11:20PM
0004,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0004,F01F0104,8851932417839,8851932417839,8851932417839,8851932417839,ซันซิลแชมพูแอนตี้แฮร์ฟอล 380มล,8,112.29,17 Feb 11:21PM
0005,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0005,F01F0104,8851932417853,8851932417853,8851932417853,8851932417853,ซันซิลนวดผมแอนตี้แฮร์ฟอล 450มล,11,132.02,17 Feb 11:21PM
0006,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0006,F01F0104,8851932417013,8851932417013,8851932417013,8851932417013,ซันซิลแชมพูซากุระเบอร์รี 380มล,21,112.29,17 Feb 11:22PM
0007,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0007,F01F0104,8851932386883,8851932386883,8851932386883,8851932386883,ซันซิลครีมนวดเนเชอซากุระ 450มล,9,131.74,17 Feb 11:22PM
0008,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0008,F01F0104,8851932407458,8851932407458,8851932407458,8851932407458,ซันซิลครีมนวดวอลลุ่ม 180มล,9,112.08,17 Feb 11:23PM
0009,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0009,F01F0104,8851932419802,8851932419802,8851932419802,8851932419802,ซันซิลแชมพูวอลลุ่มบูสเตอ 230มล,10,112.08,17 Feb 11:23PM
0010,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0010,F01F0104,8851932407441,8851932407441,8851932407441,8851932407441,ซันซิลครีมนวดแดเมจเรสคิว 180มล,8,112.08,17 Feb 11:23PM
0011,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0011,F01F0104,8851932419796,8851932419796,8851932419796,8851932419796,ซันซิลแชมพูแดเมจเรสคิว 230มล,11,112.08,17 Feb 11:23PM
0012,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0012,F01F0104,8851932407434,8851932407434,8851932407434,8851932407434,ซันซิลครีมนวดพาวเวอไชน์ 180มล,10,112.08,17 Feb 11:24PM
0013,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0013,F01F0104,8851932419789,8851932419789,8851932419789,8851932419789,ซันซิลแชมพูพาวเวอร์ไชน์ 230มล,7,112.08,17 Feb 11:24PM
0014,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0014,F01F0104,8851932413565,8851932413565,8851932413565,8851932413565,ซันซิลครีมนวดเดซี่พีช 320มล,5,112.29,17 Feb 11:24PM
0015,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0015,F01F0104,8851932412865,8851932412865,8851932412865,8851932412865,ซันซิลแชมพูเดซี่พีช 320มล,10,112.29,17 Feb 11:24PM
0016,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0016,F01F0104,8851932414814,8851932414814,8851932414814,8851932414814,ซันซิลครีมนวดเดซี่แอนพีช 425มล,7,137.41,17 Feb 11:24PM
0017,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0017,F01F0104,8851932414807,8851932414807,8851932414807,8851932414807,ซันซิลครีมนวดโรสวอเตอร์ 425มล,5,137.41,17 Feb 11:24PM
0018,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0018,F01F0104,8851932416955,8851932416955,8851932416955,8851932416955,ซันซิลแชมพูวอเตอเมลอน 380มล,3,112.29,17 Feb 11:24PM
0019,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0019,F01F0104,8851932413527,8851932413527,8851932413527,8851932413527,ซันซิลครีมนวดโรสวอเตอร์ 320มล,5,112.29,17 Feb 11:25PM
0020,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0020,F01F0104,8851932413527,8851932413527,8851932413527,8851932413527,ซันซิลครีมนวดโรสวอเตอร์ 320มล,3,112.29,17 Feb 11:25PM
0021,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0021,F01F0104,8851932412827,8851932412827,8851932412827,8851932412827,ซันซิลแชมพูโรสวอเตอร์ 320มล,9,112.29,17 Feb 11:25PM
0022,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0022,F01F0104,8851932413527,8851932413527,8851932413527,8851932413527,ซันซิลครีมนวดโรสวอเตอร์ 320มล,3,112.29,17 Feb 11:25PM
0023,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0023,F01F0104,8851932414807,8851932414807,8851932414807,8851932414807,ซันซิลครีมนวดโรสวอเตอร์ 425มล,8,137.41,17 Feb 11:26PM
0024,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0024,F01F0104,8851932414821,8851932414821,8851932414821,8851932414821,ซันซิลแชมพูโรสวอเตอร์ 425มล,4,137.41,17 Feb 11:26PM
0025,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0025,F01F0104,4902430857307,4902430857307,4902430857307,4902430857307,เฮดแอนด์โชแชมพูซับซีโร 620มล,6,165.58,17 Feb 11:26PM
0026,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0026,F01F0104,8851932378468,8851932378468,8851932378468,8851932378468,ซันซิลครีมนวดเนเชออัลมอน 320มล,6,112.27,17 Feb 11:26PM
0027,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0027,F01F0104,8851932378437,8851932378437,8851932378437,8851932378437,ซันซิลครีมนวดเนเชออัลมอน 450มล,2,131.99,17 Feb 11:27PM
0028,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0028,F01F0104,8851932416979,8851932416979,8851932416979,8851932416979,ซันซิลแชมพูอัลมอนด์ฮันนี 380มล,9,112.29,17 Feb 11:27PM
0029,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0029,F01F0104,8851932378314,8851932378314,8851932378314,8851932378314,ซันซิลแชมพูเนเชออัลมอน 450มล,8,132.01,17 Feb 11:27PM
0030,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0030,F01F0104,8851932397940,8851932397940,8851932397940,8851932397940,ซันซิลครีมนวดอโลเวร่ามิน 320มล,9,112.28,17 Feb 11:27PM
0031,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0031,F01F0104,8851932416931,8851932416931,8851932416931,8851932416931,ซันซิลแชมพูอโลเวร่าสกาล์ป380มล,4,112.29,17 Feb 11:27PM
0032,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0032,F01F0104,8851932397926,8851932397926,8851932397926,8851932397926,ซันซิลครีมนวดอโลเวร่ามิน 450มล,8,132.02,17 Feb 11:27PM
0033,470564,Q001040CBBF050000470564202102171115F01F0104,20017537,0033,F01F0104,8851932398763,8851932398763,8851932398763,8851932398763,ซันซิลแชมพูอโลเวร่ามินท์ 450มล,8,132.02,17 Feb 11:27PM
