rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0001,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0001,B01B0106,8886467033193,8886467033193,8886467033193,8886467033193,LBPบอดี้วอชเพียวโพสซิทิฟ 400มล,10,153.5,17 Feb 09:12PM
0002,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0002,B01B0106,8851111413416,8851111413416,8851111413416,8851111413416,มามี่โพโคแพ้นเด็กหญิง L 48ชิ้น,4,402.83,17 Feb 09:15PM
0003,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0003,B01B0106,8851111414390,8851111414390,8851111414390,8851111414390,มามีโพโคแพ้นเด็กหญิง XL 42ชิ้น,2,402.83,17 Feb 09:16PM
0004,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0004,B01B0106,8850039121168,8850039121168,8850039121168,8850039121168,สก็อตต์พิคอะไซส์ทาวเวล 6ม้วน,8,117.88,17 Feb 09:17PM
0005,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0005,B01B0106,8850039121168,8850039121168,8850039121168,8850039121168,สก็อตต์พิคอะไซส์ทาวเวล 6ม้วน,8,117.88,17 Feb 09:18PM
0006,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0006,B01B0106,8850709230138,8850709230138,8850709230138,8850709230138,เซอร์เทนตี้ผ้าอ้อมจัมโบ้ L 24,2,342.06,17 Feb 09:18PM
0007,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0007,B01B0106,8850709230121,8850709230121,8850709230121,8850709230121,เซอร์เทนตี้ผ้าอ้อมจัมโบ้ M X28,4,342.06,17 Feb 09:19PM
0008,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0008,B01B0106,8853474065011,8853474065011,8853474065011,8853474065011,สมาทเตอกางเกงผ้าอ้อม L 20ชิ้น,4,204.37,17 Feb 09:19PM
0009,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0009,B01B0106,8853474065011,8853474065011,8853474065011,8853474065011,สมาทเตอกางเกงผ้าอ้อม L 20ชิ้น,4,204.37,17 Feb 09:20PM
0010,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0010,B01B0106,8850046426706,8850046426706,8850046426706,8850046426706,แม๊กซ์โม่ทาวเวล 6ม้วน,4,111.24,17 Feb 09:21PM
0011,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0011,B01B0106,8850046114061,8850046114061,8850046114061,8850046114061,ซิลค์ไจแอนท์กระดาษชำระ 6ม้วน,6,65.08,17 Feb 09:21PM
0012,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0012,B01B0106,8888336032061,8888336032061,8888336032061,8888336032061,สก๊อตต์คลีนแคร์3XLแพค6ม้วน,11,96.22,17 Feb 09:21PM
0013,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0013,B01B0106,8850046114245,8850046114245,8850046114245,8850046114245,ซิลค์ไจแอนท์กระดาษชำระ X24,4,228.54,17 Feb 09:22PM
0014,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0014,B01B0106,8850185000331,8850185000331,8850185000331,8850185000331,รถพยาบาลสำลีแผ่น 50ก,5,18.95,17 Feb 09:23PM
0015,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0015,B01B0106,8850033112407,8850033112407,8850033112407,8850033112407,เลดี้สก๊อตต์ 140แผ่น X3,6,101.11,17 Feb 09:23PM
0016,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0016,B01B0106,8857125886031,8857125886031,8857125886031,8857125886031,เชอร์รี่เบบี้ซุปเปอร์ธินM X64,3,367.99,17 Feb 09:24PM
0017,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0017,B01B0106,8858947831520,8858947831520,8858947831520,8858947831520,เอลิสสมูธผ้าอนามัย 30ซม X15,16,36.45,17 Feb 09:25PM
0018,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0018,B01B0106,8853474045099,8853474045099,8853474045099,8853474045099,สมาร์ทเตอร์กระดาษเช็ดหน้า X3,9,39.02,17 Feb 09:27PM
0019,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0019,B01B0106,8888336028972,8888336028972,8888336028972,8888336028972,คลีเน็กซ์เซนส์อโรมา 110แผ่นX4,4,103.68,17 Feb 09:27PM
0020,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0020,B01B0106,8851989041087,8851989041087,8851989041087,8851989041087,สมาทปรับผ้านุ่มแฮปปีเฟรช 550มล,10,23.39,17 Feb 09:29PM
0021,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0021,B01B0106,8851818592339,8851818592339,8851818592339,8851818592339,แอทแทคทรีดีสปอตส์เข้มข้น 720มล,12,35.94,17 Feb 09:30PM
0022,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0022,B01B0106,8851818208995,8851818208995,8851818208995,8851818208995,แอทแทคอีซี่เซ็กซี่สวีท 2700ก,3,94.41,17 Feb 09:30PM
0023,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0023,B01B0106,8853474065301,8853474065301,8853474065301,8853474065301,สมาร์ทเตอร์ถุงผ้ารีไซเคิลเขียว,12,35,17 Feb 09:40PM
0024,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0024,B01B0106,8853474064748,8853474064748,8853474064748,8853474064748,สมาร์ทเตอร์กระเป๋าพลีทสีแดง,10,83.5,17 Feb 09:40PM
0025,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0025,B01B0106,8853474065905,8853474065905,8853474065905,8853474065905,สมาร์ทเตอร์กระเป๋าผ้าสีดำ,10,72,17 Feb 09:42PM
0026,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0026,B01B0106,8853474065899,8853474065899,8853474065899,8853474065899,สมาร์ทเตอร์กระเป๋าผ้าสีกรมท่า,5,72,17 Feb 09:42PM
0027,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0027,B01B0106,8853474064748,8853474064748,8853474064748,8853474064748,สมาร์ทเตอร์กระเป๋าพลีทสีแดง,10,83.5,17 Feb 09:42PM
0028,470564,Q001040CBBF3B0000470564202102170912B01B0106,20028936,0028,B01B0106,8853474065912,8853474065912,8853474065912,8853474065912,สมาร์ทเตอร์กระเป๋าผ้าคละสี,10,65,17 Feb 09:43PM
