rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0001,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0001,F01F0106,8853474057092,8853474057092,8853474057092,8853474057092,สมาร์ทเตอร์ไหมขัดฟันมิ้น 50ม,6,14.87,18 Feb 12:01AM
0002,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0002,F01F0106,8857122808722,8857122808722,8857122808722,8857122808722,เดนติคอนไหมขัดฟันสมูท 50ม,1,19.3,18 Feb 12:01AM
0003,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0003,F01F0106,8850114340064,8850114340064,8850114340064,8850114340064,ไบโอเซฟตี้ไหมขัดฟันเอ็กเพน 30ม,16,29.04,18 Feb 12:02AM
0004,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0004,F01F0106,8853474056170,8853474056170,8853474056170,8853474056170,สมาร์ทเตอร์ขัดฟันบิดเกลียว 50ม,15,25.81,18 Feb 12:02AM
0005,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0005,F01F0106,9300807030875,9300807030875,9300807030875,9300807030875,เดนทิสเต้ไหมขัดฟันพลัสไวท์ 50ม,4,62.38,18 Feb 12:02AM
0006,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0006,F01F0106,4902430721127,4902430721127,4902430721127,4902430721127,ออรัลบีไหมเอสเซนเชียล 50ม X2,20,168.01,18 Feb 12:02AM
0007,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0007,F01F0106,9300647000342,9300647000342,9300647000342,9300647000342,ออรัลบีไหมขัดฟันมิ้นท์ 50ม,1,87.69,18 Feb 12:03AM
0008,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0008,F01F0106,8857122808821,8857122808821,8857122808821,8857122808821,เดนติคอนไหมขัดฟันกัมแคร์ 50ม,32,19.3,18 Feb 12:03AM
0009,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0009,F01F0106,8853474049943,8853474049943,8853474049943,8853474049943,สมาร์ทเตอร์เมาท์สเปรย์ 7มล,33,21.07,18 Feb 12:04AM
0010,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0010,F01F0106,8857122808357,8857122808357,8857122808357,8857122808357,เดนติคอนแปรงซอกฟันสมูทพิค5ชิ้น,9,51.68,18 Feb 12:05AM
0011,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0011,F01F0106,8857122808104,8857122808104,8857122808104,8857122808104,เฟลกซี่โปรทำความสะอาดซอกฟัน,12,51.69,18 Feb 12:05AM
0012,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0012,F01F0106,8853474057757,8853474057757,8853474057757,8853474057757,สมาร์ทเตอร์แปรงซอกฟันแบบตรง X4,15,39.6,18 Feb 12:05AM
0013,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0013,F01F0106,8853474052592,8853474052592,8853474052592,8853474052592,สมาร์ทเตอร์ไม้จิ้มฟัน 60ชิ้น,13,19.33,18 Feb 12:05AM
0014,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0014,F01F0106,8853474057764,8853474057764,8853474057764,8853474057764,สมาร์ทเตอร์ไม้ไหมขัดฟัน 50ชิ้น,7,14.7,18 Feb 12:05AM
0015,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0015,F01F0106,8857122808678,8857122808678,8857122808678,8857122808678,เดนติคอนไหมขัดฟัน 50ชิ้น,7,24.47,18 Feb 12:06AM
0016,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0016,F01F0106,8857122808791,8857122808791,8857122808791,8857122808791,เดนติคอนที่ทำความสะอาดลิ้น2in1,17,29.44,18 Feb 12:06AM
0017,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0017,F01F0106,7046110065945,7046110065945,7046110065945,7046110065945,จอร์แดนแปรงซอกฟันเอ็กเอส10ชิ้น,10,111.45,18 Feb 12:06AM
0018,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0018,F01F0106,9300807061404,9300807061404,9300807061404,9300807061404,เดนทิสเต้บ้วนปากแอนโดร 200มล,10,106.58,18 Feb 12:06AM
0019,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0019,F01F0106,8858994911664,8858994911664,8858994911664,8858994911664,ออไรจิสน้ำยาบ้วนปากแบมบู 250มล,1,64.76,18 Feb 12:06AM
0020,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0020,F01F0106,8850007811022,8850007811022,8850007811022,8850007811022,ลิสเตอรีนบ้วนปากโทเทิลแค 250มล,5,60.33,18 Feb 12:07AM
0021,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0021,F01F0106,8850007811657,8850007811657,8850007811657,8850007811657,ลิสเตอรีนบ้วนปากทาร์ทาร์ 250มล,7,61.08,18 Feb 12:07AM
0022,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0022,F01F0106,8850007812562,8850007812562,8850007812562,8850007812562,ลิสเตอรีนบ้วนปากกรีนที 250มล,4,61.08,18 Feb 12:07AM
0023,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0023,F01F0106,8850007812920,8850007812920,8850007812920,8850007812920,ลิสเตอรีนยาบ้วนปากเฮลตี้ 250มล,5,61.08,18 Feb 12:07AM
0024,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0024,F01F0106,8851007198090,8851007198090,8851007198090,8851007198090,โพลิเดนท์เม็ดฟู่ทำความสะอาดฟัน,6,102.39,18 Feb 12:07AM
0025,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0025,F01F0106,8850090131007,8850090131007,8850090131007,8850090131007,โพลิเดนท์เม็ดฟู่สะอาดฟัน 6เม็ด,8,28.78,18 Feb 12:08AM
0026,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0026,F01F0106,8851007143038,8851007143038,8851007143038,8851007143038,โพลิเดนท์ครีมติดฟันปลอม 60ก,5,219.87,18 Feb 12:08AM
0027,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0027,F01F0106,8850090132035,8850090132035,8850090132035,8850090132035,โพลิเดนท์ครีมติดฟันปลอม 60ก,8,225.79,18 Feb 12:08AM
0028,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0028,F01F0106,8850090132035,8850090132035,8850090132035,8850090132035,โพลิเดนท์ครีมติดฟันปลอม 60ก,2,225.79,18 Feb 12:09AM
0029,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0029,F01F0106,8850090132035,8850090132035,8850090132035,8850090132035,โพลิเดนท์ครีมติดฟันปลอม 60ก,4,225.79,18 Feb 12:09AM
0030,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0030,F01F0106,8853474048052,8853474048052,8853474048052,8853474048052,สมาร์ทเตอร์ไม้จิ้มฟัน X300,4,45,18 Feb 12:09AM
0031,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0031,F01F0106,4902430670043,4902430670043,4902430670043,4902430670043,ออรัลบีบ้วนปากทรีดีไวท์ 473มล,12,87.41,18 Feb 12:09AM
0032,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0032,F01F0106,4902430606684,4902430606684,4902430606684,4902430606684,ออรัลบีบ้วนปาก7เบเนฟิต 500มล,5,87.41,18 Feb 12:09AM
0033,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0033,F01F0106,8850002035348,8850002035348,8850002035348,8850002035348,ซอลส์น้ำยาบ้วนปากข่อย 500มล,18,61.43,18 Feb 12:10AM
0034,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0034,F01F0106,8850002035423,8850002035423,8850002035423,8850002035423,ซอลส์น้ำยาบ้วนปากตรีผลา 500มล,5,60.51,18 Feb 12:10AM
0035,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0035,F01F0106,8850006301135,8850006301135,8850006301135,8850006301135,คอลเกตพลักซ์เปปเปอร์มิ้น 500มล,9,65.57,18 Feb 12:10AM
0036,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0036,F01F0106,8850006303269,8850006303269,8850006303269,8850006303269,คอลเกตพลักซ์เกลือสมุนไพร 500มล,9,48.79,18 Feb 12:11AM
0037,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0037,F01F0106,8850006305201,8850006305201,8850006305201,8850006305201,คอลเกตพลักซ์ฟรุ้ตตี้ 500มล,9,48.08,18 Feb 12:11AM
0038,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0038,F01F0106,8850007813149,8850007813149,8850007813149,8850007813149,ลิสเตอรีนบ้วนปากซีโร่ 750มล,7,111.33,18 Feb 12:11AM
0039,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0039,F01F0106,8850007813927,8850007813927,8850007813927,8850007813927,ลิสเตอรีนยาบ้วนปากกัมแคร์750มล,2,129.65,18 Feb 12:11AM
0040,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0040,F01F0106,8850007811695,8850007811695,8850007811695,8850007811695,ลิสเตอรีนบ้วนปากทาร์ทาร์ 750มล,2,130.5,18 Feb 12:11AM
0041,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0041,F01F0106,8850007814757,8850007814757,8850007814757,8850007814757,ลิสเตอรีนบ้วนปากทาร์ทาร750มลX2,2,191,18 Feb 12:11AM
0042,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0042,F01F0106,8850273236611,8850273236611,8850273236611,8850273236611,มอนดามินบ้วนปากสตรองมินต 550มล,7,70.12,18 Feb 12:11AM
0043,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0043,F01F0106,8850006305881,8850006305881,8850006305881,8850006305881,คอลเกตบ้วนปากทาร์ทาร์ 500มล,9,48.08,18 Feb 12:11AM
0044,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0044,F01F0106,8850006932070,8850006932070,8850006932070,8850006932070,คอลเกตบ้วนปากพลักซ์คูล 500มล,8,48.24,18 Feb 12:11AM
0045,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0045,F01F0106,8850007811176,8850007811176,8850007811176,8850007811176,ลิสเตอรีนบ้วนปากดั้งเดิม 750มล,4,130.5,18 Feb 12:12AM
0046,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0046,F01F0106,8850007811251,8850007811251,8850007811251,8850007811251,ลิสเตอรีนบ้วนปากคูลมินต์ 750มล,9,111.33,18 Feb 12:12AM
0047,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0047,F01F0106,8850007814528,8850007814528,8850007814528,8850007814528,ลิสเตอรีนบ้วนปากคูลมิน 750มลX2,3,161.5,18 Feb 12:12AM
0048,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0048,F01F0106,8850007815396,8850007815396,8850007815396,8850007815396,ลิสเตอรีนบ้วนปากโทเทิล 750มลX2,4,191,18 Feb 12:12AM
0049,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0049,F01F0106,8850007815419,8850007815419,8850007815419,8850007815419,ลิสเตอรีนบ้วนปากเฮลตี้ 750มลX2,4,191,18 Feb 12:12AM
0050,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0050,F01F0106,8850273236710,8850273236710,8850273236710,8850273236710,มอนดามินบ้วนปากเฟรชมินต์ 550มล,8,70.12,18 Feb 12:13AM
0051,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0051,F01F0106,8850273236611,8850273236611,8850273236611,8850273236611,มอนดามินบ้วนปากสตรองมินต 550มล,8,70.12,18 Feb 12:13AM
0052,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0052,F01F0106,8850006306017,8850006306017,8850006306017,8850006306017,คอลเกตพลักซ์แบมบูชาร์โคล 500มล,8,48.09,18 Feb 12:13AM
0053,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0053,F01F0106,8850007813149,8850007813149,8850007813149,8850007813149,ลิสเตอรีนบ้วนปากซีโร่ 750มล,3,111.33,18 Feb 12:13AM
0054,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0054,F01F0106,8850007811237,8850007811237,8850007811237,8850007811237,ลิสเตอรีนบ้วนปากคูลมินต์ 500มล,5,91.5,18 Feb 12:13AM
0055,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0055,F01F0106,8852027401160,8852027401160,8852027401160,8852027401160,ฟลูโอคารีลยาบ้วนปากแอลฟรี500มล,1,52.28,18 Feb 12:13AM
0056,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0056,F01F0106,8850002017924,8850002017924,8850002017924,8850002017924,ซิสเทมม่ายาบ้วนปากเขียว 750มล,8,51.15,18 Feb 12:13AM
0057,470564,Q001040CBBF3B0000470564202102171157F01F0106,20028936,0057,F01F0106,8850002017924,8850002017924,8850002017924,8850002017924,ซิสเทมม่ายาบ้วนปากเขียว 750มล,4,51.15,18 Feb 12:13AM
