rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0001,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0001,d00d0000,8858734701227,8858734701227,8858734701227,8858734701227,ศรีไทยบริการชุดประดับ,7,29,18 Feb 05:19AM
0002,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0002,d00d0000,8858734701173,8858734701173,8858734701173,8858734701173,ศรีไทยบริการแบงค์ใหม่,20,9,18 Feb 05:19AM
0003,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0003,d00d0000,8858734701104,8858734701104,8858734701104,8858734701104,ศรีไทยบริการกิมจั้ว,10,22,18 Feb 05:19AM
0004,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0004,d00d0000,8855822000613,8855822000613,8855822000613,8855822000613,เวฟซองแดงอั๋งเปากระดาษ X3,1,22,18 Feb 05:19AM
0005,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0005,d00d0000,8858734701548,8858734701548,8858734701548,8858734701548,ศรีไทยบริการอั่งติ้ว,10,10,18 Feb 05:19AM
0006,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0006,d00d0000,8858734701203,8858734701203,8858734701203,8858734701203,ศรีไทยบริการทองแท่งกลาง,20,18.5,18 Feb 05:19AM
0007,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0007,d00d0000,8858734701128,8858734701128,8858734701128,8858734701128,ศรีไทยบริการตั่วกิมใหญ่,18,18,18 Feb 05:19AM
0008,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0008,d00d0000,8858734701111,8858734701111,8858734701111,8858734701111,ศรีไทยบริการตั่วกิมเล็ก,5,16,18 Feb 05:20AM
0009,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0009,d00d0000,8858734701210,8858734701210,8858734701210,8858734701210,ศรีไทยบริการทองแท่งใหญ่,4,21.5,18 Feb 05:20AM
0010,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0010,d00d0000,8858734702729,8858734702729,8858734702729,8858734702729,ศรีไทยบริการกิมฮวยไม่มีหาง X2,2,16,18 Feb 05:20AM
0011,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0011,d00d0000,8858734701036,8858734701036,8858734701036,8858734701036,ศรีไทยบริการโกวอี่พิมพ์,8,9,18 Feb 05:20AM
0012,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0012,d00d0000,8858734701609,8858734701609,8858734701609,8858734701609,ศรีไทยบริการชุดเต้า,2,27,18 Feb 05:20AM
0013,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0013,d00d0000,8858734701210,8858734701210,8858734701210,8858734701210,ศรีไทยบริการทองแท่งใหญ่,14,21.5,18 Feb 05:20AM
0014,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0014,d00d0000,8858734701210,8858734701210,8858734701210,8858734701210,ศรีไทยบริการทองแท่งใหญ่,2,21.5,18 Feb 05:20AM
0015,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0015,d00d0000,8858734701197,8858734701197,8858734701197,8858734701197,ศรีไทยบริการแบงค์ใหญ่จัมโบ้,10,14,18 Feb 05:20AM
0016,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0016,d00d0000,8858734700947,8858734700947,8858734700947,8858734700947,ศรีไทยบริการป้ายอวยพรใหญ่,6,18,18 Feb 05:20AM
0017,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0017,d00d0000,8858734700954,8858734700954,8858734700954,8858734700954,ศรีไทยบริการป้ายอวยพร,1,11,18 Feb 05:21AM
0018,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0018,d00d0000,8858734701111,8858734701111,8858734701111,8858734701111,ศรีไทยบริการตั่วกิมเล็ก,1,16,18 Feb 05:21AM
0019,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0019,d00d0000,8858734701258,8858734701258,8858734701258,8858734701258,ศรีไทยบริการงิ่งเตี๋ย,1,15,18 Feb 05:21AM
0020,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0020,d00d0000,8858734701517,8858734701517,8858734701517,8858734701517,ศรีไทยบริการกระดาษเทียนเฒ่าจี๊,6,22,18 Feb 05:21AM
0021,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0021,d00d0000,8858734701197,8858734701197,8858734701197,8858734701197,ศรีไทยบริการแบงค์ใหญ่จัมโบ้,15,14,18 Feb 05:21AM
0022,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0022,d00d0000,8858734701258,8858734701258,8858734701258,8858734701258,ศรีไทยบริการงิ่งเตี๋ย,4,15,18 Feb 05:21AM
0023,470564,Q001040CC205B0000470564202102180518d00d0000,20029445,0023,d00d0000,8858734701517,8858734701517,8858734701517,8858734701517,ศรีไทยบริการกระดาษเทียนเฒ่าจี๊,2,22,18 Feb 05:21AM
