rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0001,470564,Q001040CC205B0000470564202102181211F08001,20029445,0001,F08001,4902430870689,4902430870689,4902430870689,4902430870689,ยิลเลตต์มีดโกนสกินการ์ด1ชิ้น,3,215.2,18 Feb 12:12AM
0002,470564,Q001040CC205B0000470564202102181211F08001,20029445,0002,F08001,4902430870689,4902430870689,4902430870689,4902430870689,ยิลเลตต์มีดโกนสกินการ์ด1ชิ้น,2,215.2,18 Feb 12:12AM
0003,470564,Q001040CC205B0000470564202102181211F08001,20029445,0003,F08001,8853474056583,8853474056583,8853474056583,8853474056583,สมาร์ทเตอรใบมีดโกนอัลทิเมท3 X4,9,71.03,18 Feb 12:12AM
0004,470564,Q001040CC205B0000470564202102181211F08001,20029445,0004,F08001,4902430325431,4902430325431,4902430325431,4902430325431,ยิลเลตต์ด้ามมีดมัค3เซนซิทีฟX1,2,159.73,18 Feb 12:12AM
0005,470564,Q001040CC205B0000470564202102181211F08001,20029445,0005,F08001,4902430236645,4902430236645,4902430236645,4902430236645,ยิลเลตต์ใบมีดพร้อมด้ามมัค1ชุด,7,261.89,18 Feb 12:12AM
0006,470564,Q001040CC205B0000470564202102181211F08001,20029445,0006,F08001,4902430788205,4902430788205,4902430788205,4902430788205,ยิลเลตต์ใบมีดด้ามมัคทรีพลั1ชุด,3,181.51,18 Feb 12:13AM
0007,470564,Q001040CC205B0000470564202102181211F08001,20029445,0007,F08001,7702018038275,7702018038275,7702018038275,7702018038275,ยิลเลตต์ด้ามมีดผู้หญิงวีนัสx3,7,177.54,18 Feb 12:13AM
0008,470564,Q001040CC205B0000470564202102181211F08001,20029445,0008,F08001,8853474056613,8853474056613,8853474056613,8853474056613,สมาร์ทเตอรชุดมีดโกนสำเร็จรูปX3,7,43.85,18 Feb 12:13AM
0009,470564,Q001040CC205B0000470564202102181211F08001,20029445,0009,F08001,3014260301705,3014260301705,3014260301705,3014260301705,ยิลเลตต์ใบมีดโกนเวคเตอร์ x4,9,96.65,18 Feb 12:13AM
0010,470564,Q001040CC205B0000470564202102181211F08001,20029445,0010,F08001,7702018977819,7702018977819,7702018977819,7702018977819,ยิลเลตต์ใบมีดฟิวชั่นโปรไกลด์x4,2,536.26,18 Feb 12:13AM
