rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0001,470564,Q001040D024710000470564202102171113F01F0101,20049259,0001,F01F0101,8851932383431,8851932383431,8851932383431,8851932383431,ซันซิลแชมพูสมูท425มลฟรีครีมนวด,2,156.93,17 Feb 11:18PM
0002,470564,Q001040D024710000470564202102171113F01F0101,20049259,0002,F01F0101,8851932383448,8851932383448,8851932383448,8851932383448,ซันซิลแชมพูแดเม425มลฟรีครีมนวด,2,156.93,17 Feb 11:18PM
0003,470564,Q001040D024710000470564202102171113F01F0101,20049259,0003,F01F0101,8851932383455,8851932383455,8851932383455,8851932383455,ซันซิลแชมพูเฮล425มล ฟรีครีมนวด,3,156.93,17 Feb 11:18PM
0004,470564,Q001040D024710000470564202102171113F01F0101,20049259,0004,F01F0101,8851932383455,8851932383455,8851932383455,8851932383455,ซันซิลแชมพูเฮล425มล ฟรีครีมนวด,6,156.93,17 Feb 11:18PM
0005,470564,Q001040D024710000470564202102171113F01F0101,20049259,0005,F01F0101,8851932383448,8851932383448,8851932383448,8851932383448,ซันซิลแชมพูแดเม425มลฟรีครีมนวด,6,156.93,17 Feb 11:19PM
0006,470564,Q001040D024710000470564202102171113F01F0101,20049259,0006,F01F0101,8851932383431,8851932383431,8851932383431,8851932383431,ซันซิลแชมพูสมูท425มลฟรีครีมนวด,12,156.93,17 Feb 11:19PM
0007,470564,Q001040D024710000470564202102171113F01F0101,20049259,0007,F01F0101,8851932410144,8851932410144,8851932410144,8851932410144,เคลียร์แชมพูซากุระ 425มล 1แถม1,3,203.63,17 Feb 11:19PM
0008,470564,Q001040D024710000470564202102171113F01F0101,20049259,0008,F01F0101,8851932404921,8851932404921,8851932404921,8851932404921,เคลียร์แชมพูไอซ์คูล 425มล X2,2,203.63,17 Feb 11:19PM
0009,470564,Q001040D024710000470564202102171113F01F0101,20049259,0009,F01F0101,8851932410151,8851932410151,8851932410151,8851932410151,เคลียร์เมนแชมพูคูล 425มล 1แถม1,9,211.8,17 Feb 11:20PM
0010,470564,Q001040D024710000470564202102171113F01F0101,20049259,0010,F01F0101,8851932422949,8851932422949,8851932422949,8851932422949,เคลียร์แชมพูดีฟคลีน425มล 1แถม1,6,211.8,17 Feb 11:20PM
0011,470564,Q001040D024710000470564202102171113F01F0101,20049259,0011,F01F0101,8851332009504,8851332009504,8851332009504,8851332009504,ไซออสแชมพูรีแพร์โททอล 350มล,5,110.91,17 Feb 11:21PM
0012,470564,Q001040D024710000470564202102171113F01F0101,20049259,0012,F01F0101,8853474063666,8853474063666,8853474063666,8853474063666,สมาร์ทเตอร์หวีผมพกพาคละสี,1,25,17 Feb 11:21PM
0013,470564,Q001040D024710000470564202102171113F01F0101,20049259,0013,F01F0101,8851932400992,8851932400992,8851932400992,8851932400992,เทรซาเม่แชมพูคัลเลอร์ 250มล,2,187.74,17 Feb 11:22PM
0014,470564,Q001040D024710000470564202102171113F01F0101,20049259,0014,F01F0101,8853474052745,8853474052745,8853474052745,8853474052745,สมาร์ทเตอร์แปรงไดร์ผมกลม 1ด้าม,6,35.5,17 Feb 11:22PM
0015,470564,Q001040D024710000470564202102171113F01F0101,20049259,0015,F01F0101,8851932401548,8851932401548,8851932401548,8851932401548,ซันซิลครีมนวดวอเตอเมลอน 320มล,9,111.67,17 Feb 11:22PM
0016,470564,Q001040D024710000470564202102171113F01F0101,20049259,0016,F01F0101,8851932412827,8851932412827,8851932412827,8851932412827,ซันซิลแชมพูโรสวอเตอร์ 320มล,3,112.29,17 Feb 11:22PM
0017,470564,Q001040D024710000470564202102171113F01F0101,20049259,0017,F01F0101,8851932412186,8851932412186,8851932412186,8851932412186,โดฟนวดผมเซรั่มเพียวริฟาย 450มล,1,186.17,17 Feb 11:23PM
0018,470564,Q001040D024710000470564202102171113F01F0101,20049259,0018,F01F0101,8851932417716,8851932417716,8851932417716,8851932417716,ซันซิลนวดผมแอนตี้แฮร์ฟอล 320มล,3,112.29,17 Feb 11:23PM
0019,470564,Q001040D024710000470564202102171113F01F0101,20049259,0019,F01F0101,8851932416931,8851932416931,8851932416931,8851932416931,ซันซิลแชมพูอโลเวร่าสกาล์ป380มล,4,112.29,17 Feb 11:23PM
0020,470564,Q001040D024710000470564202102171113F01F0101,20049259,0020,F01F0101,8851932397940,8851932397940,8851932397940,8851932397940,ซันซิลครีมนวดอโลเวร่ามิน 320มล,4,112.28,17 Feb 11:23PM
0021,470564,Q001040D024710000470564202102171113F01F0101,20049259,0021,F01F0101,8888336015491,8888336015491,8888336015491,8888336015491,สก๊อตต์เอ็กซ์ตร้ายาวสุดพิเศษ24,8,283.36,17 Feb 11:24PM
0022,470564,Q001040D024710000470564202102171113F01F0101,20049259,0022,F01F0101,8888336015491,8888336015491,8888336015491,8888336015491,สก๊อตต์เอ็กซ์ตร้ายาวสุดพิเศษ24,4,283.36,17 Feb 11:24PM
0023,470564,Q001040D024710000470564202102171113F01F0101,20049259,0023,F01F0101,8850002025066,8850002025066,8850002025066,8850002025066,เปาซิลเวอร์นาโนฝาหน้า 1700ก,2,150,17 Feb 11:24PM
0024,470564,Q001040D024710000470564202102171113F01F0101,20049259,0024,F01F0101,8850002024519,8850002024519,8850002024519,8850002024519,เปาซิลเวอร์นาโน 1700ก,3,143.33,17 Feb 11:25PM
0025,470564,Q001040D024710000470564202102171113F01F0101,20049259,0025,F01F0101,8850002025066,8850002025066,8850002025066,8850002025066,เปาซิลเวอร์นาโนฝาหน้า 1700ก,6,150,17 Feb 11:25PM
0026,470564,Q001040D024710000470564202102171113F01F0101,20049259,0026,F01F0101,8850002034013,8850002034013,8850002034013,8850002034013,เปาซิเวอนาโนแอคทีฟเข้มข้น1500ก,11,133.33,17 Feb 11:25PM
0027,470564,Q001040D024710000470564202102171113F01F0101,20049259,0027,F01F0101,8850002024519,8850002024519,8850002024519,8850002024519,เปาซิลเวอร์นาโน 1700ก,6,143.33,17 Feb 11:26PM
0028,470564,Q001040D024710000470564202102171113F01F0101,20049259,0028,F01F0101,8850002025066,8850002025066,8850002025066,8850002025066,เปาซิลเวอร์นาโนฝาหน้า 1700ก,6,150,17 Feb 11:26PM
0029,470564,Q001040D024710000470564202102171113F01F0101,20049259,0029,F01F0101,8850002024519,8850002024519,8850002024519,8850002024519,เปาซิลเวอร์นาโน 1700ก,6,143.33,17 Feb 11:26PM
0030,470564,Q001040D024710000470564202102171113F01F0101,20049259,0030,F01F0101,8850002034020,8850002034020,8850002034020,8850002034020,เปาซิลเวอนาโนแอคทีฟ 2400ก,6,186.67,17 Feb 11:28PM
0031,470564,Q001040D024710000470564202102171113F01F0101,20049259,0031,F01F0101,8858843206484,8858843206484,8858843206484,8858843206484,เฟรชพลัสผ้าเช็ดแบบเปียก120แผ่น,7,45.26,17 Feb 11:28PM
0032,470564,Q001040D024710000470564202102171113F01F0101,20049259,0032,F01F0101,8858843206484,8858843206484,8858843206484,8858843206484,เฟรชพลัสผ้าเช็ดแบบเปียก120แผ่น,2,45.26,17 Feb 11:29PM
0033,470564,Q001040D024710000470564202102171113F01F0101,20049259,0033,F01F0101,8858843206491,8858843206491,8858843206491,8858843206491,เฟรชพลัสผ้าเช็ดผิวเปียก120แผ่น,2,45.26,17 Feb 11:29PM
0034,470564,Q001040D024710000470564202102171113F01F0101,20049259,0034,F01F0101,8858843206484,8858843206484,8858843206484,8858843206484,เฟรชพลัสผ้าเช็ดแบบเปียก120แผ่น,6,45.26,17 Feb 11:29PM
0035,470564,Q001040D024710000470564202102171113F01F0101,20049259,0035,F01F0101,8858843206491,8858843206491,8858843206491,8858843206491,เฟรชพลัสผ้าเช็ดผิวเปียก120แผ่น,12,45.26,17 Feb 11:30PM
0036,470564,Q001040D024710000470564202102171113F01F0101,20049259,0036,F01F0101,8858843206484,8858843206484,8858843206484,8858843206484,เฟรชพลัสผ้าเช็ดแบบเปียก120แผ่น,12,45.26,17 Feb 11:30PM
0037,470564,Q001040D024710000470564202102171113F01F0101,20049259,0037,F01F0101,8858843206484,8858843206484,8858843206484,8858843206484,เฟรชพลัสผ้าเช็ดแบบเปียก120แผ่น,3,45.26,17 Feb 11:30PM
0038,470564,Q001040D024710000470564202102171113F01F0101,20049259,0038,F01F0101,8858843206491,8858843206491,8858843206491,8858843206491,เฟรชพลัสผ้าเช็ดผิวเปียก120แผ่น,3,45.26,17 Feb 11:30PM
0039,470564,Q001040D024710000470564202102171113F01F0101,20049259,0039,F01F0101,8858843206484,8858843206484,8858843206484,8858843206484,เฟรชพลัสผ้าเช็ดแบบเปียก120แผ่น,12,45.26,17 Feb 11:31PM
0040,470564,Q001040D024710000470564202102171113F01F0101,20049259,0040,F01F0101,8858843206491,8858843206491,8858843206491,8858843206491,เฟรชพลัสผ้าเช็ดผิวเปียก120แผ่น,9,45.26,17 Feb 11:31PM
0041,470564,Q001040D024710000470564202102171113F01F0101,20049259,0041,F01F0101,8858843206491,8858843206491,8858843206491,8858843206491,เฟรชพลัสผ้าเช็ดผิวเปียก120แผ่น,12,45.26,17 Feb 11:32PM
0042,470564,Q001040D024710000470564202102171113F01F0101,20049259,0042,F01F0101,8851932412995,8851932412995,8851932412995,8851932412995,โดฟแชมพูนูทริทีฟดีท็อกซ์ 450มล,8,127.8,17 Feb 11:34PM
0043,470564,Q001040D024710000470564202102171113F01F0101,20049259,0043,F01F0101,8858843206651,8858843206651,8858843206651,8858843206651,เฟรชผ้าเช็ดความสะอาดผิว65แผ่น,21,33.11,17 Feb 11:35PM
0044,470564,Q001040D024710000470564202102171113F01F0101,20049259,0044,F01F0101,8858843206651,8858843206651,8858843206651,8858843206651,เฟรชผ้าเช็ดความสะอาดผิว65แผ่น,24,33.11,17 Feb 11:36PM
0045,470564,Q001040D024710000470564202102171113F01F0101,20049259,0045,F01F0101,8858843206651,8858843206651,8858843206651,8858843206651,เฟรชผ้าเช็ดความสะอาดผิว65แผ่น,24,33.11,17 Feb 11:36PM
0046,470564,Q001040D024710000470564202102171113F01F0101,20049259,0046,F01F0101,8851123347761,8851123347761,8851123347761,8851123347761,เบบี้มายด์ซักผ้าเบบีทัช 2000มล,6,125.78,17 Feb 11:38PM
0047,470564,Q001040D024710000470564202102171113F01F0101,20049259,0047,F01F0101,8851123347761,8851123347761,8851123347761,8851123347761,เบบี้มายด์ซักผ้าเบบีทัช 2000มล,4,125.78,17 Feb 11:38PM
0048,470564,Q001040D024710000470564202102171113F01F0101,20049259,0048,F01F0101,8851123347761,8851123347761,8851123347761,8851123347761,เบบี้มายด์ซักผ้าเบบีทัช 2000มล,4,125.78,17 Feb 11:38PM
0049,470564,Q001040D024710000470564202102171113F01F0101,20049259,0049,F01F0101,8851123742566,8851123742566,8851123742566,8851123742566,เบบี้มายซักผ้าไวท์ซากุระ2000มล,2,125.78,17 Feb 11:39PM
0050,470564,Q001040D024710000470564202102171113F01F0101,20049259,0050,F01F0101,8851123742566,8851123742566,8851123742566,8851123742566,เบบี้มายซักผ้าไวท์ซากุระ2000มล,6,125.78,17 Feb 11:39PM
0051,470564,Q001040D024710000470564202102171113F01F0101,20049259,0051,F01F0101,8851989020563,8851989020563,8851989020563,8851989020563,ทรอสเจลเอ็กซ์ตร้าโฮล์ด 200ก,5,27.21,17 Feb 11:40PM
