rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0001,470564,Q001040D024740000470564202102170832B01B0102,20032476,0001,B01B0102,8853474064533,8853474064533,8853474064533,8853474064533,สมาร์ทเตอร์ชุดโรลม้วนผมตัวล็อค,3,38.5,17 Feb 08:37PM
0002,470564,Q001040D024740000470564202102170832B01B0102,20032476,0002,B01B0102,8850169802029,8850169802029,8850169802029,8850169802029,แคเร็กซ์ล้างมือเขียว 250มล X2,1,82.75,17 Feb 08:39PM
0003,470564,Q001040D024740000470564202102170832B01B0102,20032476,0003,B01B0102,8853474052745,8853474052745,8853474052745,8853474052745,สมาร์ทเตอร์แปรงไดร์ผมกลม 1ด้าม,1,35.5,17 Feb 08:40PM
0004,470564,Q001040D024740000470564202102170832B01B0102,20032476,0004,B01B0102,8853474064533,8853474064533,8853474064533,8853474064533,สมาร์ทเตอร์ชุดโรลม้วนผมตัวล็อค,1,38.5,17 Feb 08:40PM
0005,470564,Q001040D024740000470564202102170832B01B0102,20032476,0005,B01B0102,8850848014859,8850848014859,8850848014859,8850848014859,เพียวรีนเฮดทูโทโยเกิตRF 400มล,2,35.59,17 Feb 08:40PM
0006,470564,Q001040D024740000470564202102170832B01B0102,20032476,0006,B01B0102,8850848014002,8850848014002,8850848014002,8850848014002,เพียวรีนเซนส์ซีทีฟ 80แผ่นX3,4,124.57,17 Feb 08:40PM
0007,470564,Q001040D024740000470564202102170832B01B0102,20032476,0007,B01B0102,8850006932070,8850006932070,8850006932070,8850006932070,คอลเกตบ้วนปากพลักซ์คูล 500มล,5,48.24,17 Feb 08:41PM
0008,470564,Q001040D024740000470564202102170832B01B0102,20032476,0008,B01B0102,8850006932070,8850006932070,8850006932070,8850006932070,คอลเกตบ้วนปากพลักซ์คูล 500มล,6,48.24,17 Feb 08:41PM
0009,470564,Q001040D024740000470564202102170832B01B0102,20032476,0009,B01B0102,8859082300353,8859082300353,8859082300353,8859082300353,สเนลไวท์บาธเนเชอรัลไวท 500มล,9,69.99,17 Feb 08:41PM
0010,470564,Q001040D024740000470564202102170832B01B0102,20032476,0010,B01B0102,4902430952132,4902430952132,4902430952132,4902430952132,เฮอร์บัลแชมพูสำหรับผมแห้ง400มล,12,111.61,17 Feb 08:41PM
0011,470564,Q001040D024740000470564202102170832B01B0102,20032476,0011,B01B0102,8850169802012,8850169802012,8850169802012,8850169802012,แคเร็กซ์ล้างมือเขียว 250มล X2,1,51.75,17 Feb 08:42PM
