rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0001,470564,Q001040D024740000470564202102170846NS01,20032476,0001,NS01,4902430875905,4902430875905,4902430875905,4902430875905,ยิลเลตต์วีนัสด้านมีดสมูท 1ชุด,1,201.15,17 Feb 08:47PM
0002,470564,Q001040D024740000470564202102170846NS01,20032476,0002,NS01,8853474065097,8853474065097,8853474065097,8853474065097,สมาร์ทเตอร์ชุดขวดแบ่ง 1ชุด,6,36.5,17 Feb 08:47PM
0003,470564,Q001040D024740000470564202102170846NS01,20032476,0003,NS01,8851477157658,8851477157658,8851477157658,8851477157658,จูปาจุ๊ปส์อโรม่าสวีทวนิลา 30มล,11,42.5,17 Feb 08:58PM
0004,470564,Q001040D024740000470564202102170846NS01,20032476,0004,NS01,8851989081427,8851989081427,8851989081427,8851989081427,บีไนซ์บาธเมนเรดมิชชั่น 450มล,12,74.05,17 Feb 08:59PM
0005,470564,Q001040D024740000470564202102170846NS01,20032476,0005,NS01,4902430875905,4902430875905,4902430875905,4902430875905,ยิลเลตต์วีนัสด้านมีดสมูท 1ชุด,5,201.15,17 Feb 09:26PM
0006,470564,Q001040D024740000470564202102170846NS01,20032476,0006,NS01,8850461200028,8850461200028,8850461200028,8850461200028,แซนนิซอฟท์สารสกัดชาเขียว X80,1,39.19,17 Feb 09:26PM
0007,470564,Q001040D024740000470564202102170846NS01,20032476,0007,NS01,8851818504134,8851818504134,8851818504134,8851818504134,บิโอเรเมนส์ไวท์เคลย์แอคแน่100ก,1,56.92,17 Feb 09:26PM
0008,470564,Q001040D024740000470564202102170846NS01,20032476,0008,NS01,8851818504127,8851818504127,8851818504127,8851818504127,บิโอเรเมนส์ออยไบร์ทแอคชั่น100ก,4,57.1,17 Feb 09:26PM
0009,470564,Q001040D024740000470564202102170846NS01,20032476,0009,NS01,8851818504127,8851818504127,8851818504127,8851818504127,บิโอเรเมนส์ออยไบร์ทแอคชั่น100ก,6,57.1,17 Feb 09:26PM
0010,470564,Q001040D024740000470564202102170846NS01,20032476,0010,NS01,8851932389365,8851932389365,8851932389365,8851932389365,โดฟแชมพูดีเสตรส 430มล,1,135.83,17 Feb 09:35PM
0011,470564,Q001040D024740000470564202102170846NS01,20032476,0011,NS01,4902430807166,4902430807166,4902430807166,4902430807166,เฮด&เอชแชมพูเมนคูลเมนทอล 480มล,7,152.89,17 Feb 09:35PM
0012,470564,Q001040D024740000470564202102170846NS01,20032476,0012,NS01,8851932389037,8851932389037,8851932389037,8851932389037,โดฟแชมพูสเตรทเทนนิ่ง 430มล,4,135.83,17 Feb 09:35PM
0013,470564,Q001040D024740000470564202102170846NS01,20032476,0013,NS01,4902430397889,4902430397889,4902430397889,4902430397889,เอช&เอสแชมพูคลีน&บาลานซ์ 680มล,2,165.58,17 Feb 09:35PM
0014,470564,Q001040D024740000470564202102170846NS01,20032476,0014,NS01,8807779081986,8807779081986,8807779081986,8807779081986,แทงกีมอรีทรีเมนไวทัลไลซิง300มล,3,323.62,17 Feb 09:35PM
0015,470564,Q001040D024740000470564202102170846NS01,20032476,0015,NS01,8851932415255,8851932415255,8851932415255,8851932415255,ลักส์บาธไอซ์ซี่เรเดียนซ์ 500มล,2,96.66,17 Feb 09:36PM
0016,470564,Q001040D024740000470564202102170846NS01,20032476,0016,NS01,4902430655989,4902430655989,4902430655989,4902430655989,แพนทีนแชมพูแดเมจสเตป1 450มล,1,161.83,17 Feb 09:37PM
0017,470564,Q001040D024740000470564202102170846NS01,20032476,0017,NS01,51009007743,51009007743,51009007743,51009007743,บาร์บาโซลเชฟวิ่งครีมซูตติง198g,6,100.37,17 Feb 09:50PM
0018,470564,Q001040D024740000470564202102170846NS01,20032476,0018,NS01,51009007743,51009007743,51009007743,51009007743,บาร์บาโซลเชฟวิ่งครีมซูตติง198g,1,100.37,17 Feb 09:53PM
0019,470564,Q001040D024740000470564202102170846NS01,20032476,0019,NS01,51009007743,51009007743,51009007743,51009007743,บาร์บาโซลเชฟวิ่งครีมซูตติง198g,5,100.37,17 Feb 09:53PM
