rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0001,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0001,B01B0103,8851111421091,8851111421091,8851111421091,8851111421091,มามี่โพโคแฮปปี้เดย์ไนท์XXL X48,3,320.69,17 Feb 08:37PM
0002,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0002,B01B0103,4897006037408,4897006037408,4897006037408,4897006037408,ฮาดะลาโบะเพอร์เฟคเจล 80ก,6,552.97,17 Feb 08:39PM
0003,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0003,B01B0103,4902430593694,4902430593694,4902430593694,4902430593694,โอเลย์เซรัมสเวิร์ล7อิน1ไนท 40ก,2,174.29,17 Feb 08:42PM
0004,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0004,B01B0103,8851818776579,8851818776579,8851818776579,8851818776579,บิโอเรยูวีบอดี้ไวท์เซรัม 150มล,3,176.46,17 Feb 08:42PM
0005,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0005,B01B0103,8851818776555,8851818776555,8851818776555,8851818776555,บิโอเรยูวีบอดี้เอจดีเฟน 150มล,4,174.18,17 Feb 08:42PM
0006,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0006,B01B0103,8992304083921,8992304083921,8992304083921,8992304083921,ลอรีอัลยูวีเพอเฟคแมท&เฟรช 30มล,2,240.79,17 Feb 08:42PM
0007,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0007,B01B0103,4902430735148,4902430735148,4902430735148,4902430735148,โอเลย์ครีมกลางคืนโททัลเอฟ 50ก,2,381.87,17 Feb 08:43PM
0008,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0008,B01B0103,4987241134991,4987241134991,4987241134991,4987241134991,เมลาโนซีซีโลชั่น 170มล,6,184.12,17 Feb 08:43PM
0009,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0009,B01B0103,8851818805323,8851818805323,8851818805323,8851818805323,บิโอเรกันแดดรีเฟรชไบร์ท 150มล,1,173.23,17 Feb 08:43PM
0010,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0010,B01B0103,4987241160037,4987241160037,4987241160037,4987241160037,เมลาโนซีซีเอสเซนส์ 20มล,2,304.58,17 Feb 08:43PM
0011,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0011,B01B0103,8851932404952,8851932404952,8851932404952,8851932404952,เซนท์ไอฟ์ครีมอโวคาโดโคโคนัท45ก,1,307.75,17 Feb 08:43PM
0012,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0012,B01B0103,8851520081114,8851520081114,8851520081114,8851520081114,เมนโทลาทั่มคลีนเซอร์แอคเน่90มล,1,120.88,17 Feb 08:43PM
0013,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0013,B01B0103,8002410033618,8002410033618,8002410033618,8002410033618,แอคควาอัลเลโรสดิสทิลลาตา 300มล,1,242.82,17 Feb 08:43PM
0014,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0014,B01B0103,8850029009391,8850029009391,8850029009391,8850029009391,นีเวียซันไวท์เซรั่ม 30มล,1,203.38,17 Feb 08:43PM
0015,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0015,B01B0103,9300807033074,9300807033074,9300807033074,9300807033074,สมูทอีเซรั่มไวท์ 0.4ออนซ์,1,248.83,17 Feb 08:43PM
0016,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0016,B01B0103,4902430735148,4902430735148,4902430735148,4902430735148,โอเลย์ครีมกลางคืนโททัลเอฟ 50ก,4,381.87,17 Feb 08:43PM
0017,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0017,B01B0103,7702018085897,7702018085897,7702018085897,7702018085897,ยิลเลตต์ใบมีดฟิวชั่นโปรไกลด์x2,1,304.87,17 Feb 08:44PM
0018,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0018,B01B0103,7702018977857,7702018977857,7702018977857,7702018977857,ยิลเลตต์ใบมีดโปรไกลด์เพาเวอรx4,12,595.05,17 Feb 08:44PM
0019,470564,Q001040D1814C0000470564202102170833B01B0103,20031485,0019,B01B0103,4902430788250,4902430788250,4902430788250,4902430788250,ยิลเลตต์ใบมีดโกนมัคทรีพลั6ชิ้น,4,363.76,17 Feb 08:44PM
