rowid,StockTakeID,DocNum,Inspector,SEQ,Location,SKU,Barcode,IBC,SBC,ProductName,QNT,SalePrice,DateTime
0001,470564,Q001040D1814C0000470564202102171112F01F0103,20031485,0001,F01F0103,4902430624053,4902430624053,4902430624053,4902430624053,แพนทีนครีมนวด3มิแดมเมจ 300มล,1,104.02,17 Feb 11:20PM
0002,470564,Q001040D1814C0000470564202102171112F01F0103,20031485,0002,F01F0103,8851932413527,8851932413527,8851932413527,8851932413527,ซันซิลครีมนวดโรสวอเตอร์ 320มล,6,112.29,17 Feb 11:20PM
0003,470564,Q001040D1814C0000470564202102171112F01F0103,20031485,0003,F01F0103,4902430781183,4902430781183,4902430781183,4902430781183,แพนทีนครีมนวดโกลเวทตี้ 300มล,10,133.9,17 Feb 11:20PM
0004,470564,Q001040D1814C0000470564202102171112F01F0103,20031485,0004,F01F0103,4902430777063,4902430777063,4902430777063,4902430777063,แพนทีนแชมพูเรเดียนโกลว์ 300มล,12,137.62,17 Feb 11:20PM
0005,470564,Q001040D1814C0000470564202102171112F01F0103,20031485,0005,F01F0103,4902430500487,4902430500487,4902430500487,4902430500487,แพนทีนครีมนวดคัลเลอร์ 410มล,1,117.29,17 Feb 11:21PM
0006,470564,Q001040D1814C0000470564202102171112F01F0103,20031485,0006,F01F0103,8851932417013,8851932417013,8851932417013,8851932417013,ซันซิลแชมพูซากุระเบอร์รี 380มล,6,112.29,17 Feb 11:21PM
0007,470564,Q001040D1814C0000470564202102171112F01F0103,20031485,0007,F01F0103,8851932274838,8851932274838,8851932274838,8851932274838,โดฟเซรั่มนอริชชิ่งออยส์ 40มล,8,117.17,17 Feb 11:21PM
0008,470564,Q001040D1814C0000470564202102171112F01F0103,20031485,0008,F01F0103,8851932227230,8851932227230,8851932227230,8851932227230,โดฟทรีทเม้นอินเทนซ์รีแพร 200มล,6,104.08,17 Feb 11:21PM
0009,470564,Q001040D1814C0000470564202102171112F01F0103,20031485,0009,F01F0103,8851932389761,8851932389761,8851932389761,8851932389761,โดฟครีมนวดอินเทนซรีแพร์180มล,14,118.88,17 Feb 11:21PM
0010,470564,Q001040D1814C0000470564202102171112F01F0103,20031485,0010,F01F0103,8851932419024,8851932419024,8851932419024,8851932419024,โดฟครีมนวดอินเทนซ์1มินิท 300มล,11,118.87,17 Feb 11:21PM
0011,470564,Q001040D1814C0000470564202102171112F01F0103,20031485,0011,F01F0103,8851932419031,8851932419031,8851932419031,8851932419031,โดฟครีมนวดนอริชชิ่ง1มินิท300มล,12,118.87,17 Feb 11:21PM
0012,470564,Q001040D1814C0000470564202102171112F01F0103,20031485,0012,F01F0103,4902430790468,4902430790468,4902430790468,4902430790468,แพนทีนแชมพูแฮร์ฟอล 300มล,7,104.93,17 Feb 11:22PM
0013,470564,Q001040D1814C0000470564202102171112F01F0103,20031485,0013,F01F0103,4902430413046,4902430413046,4902430413046,4902430413046,แพนทีนครีมนวดแฮร์ฟอล 410มล,6,124.23,17 Feb 11:22PM
